ebi-a-GCST90092811,3-Hydroxybutyrate levels
ebi-a-GCST90092804,Acetoacetate levels
ebi-a-GCST90092851,Concentration of large HDL particles
met-d-L_HDL_CE,Cholesteryl esters in large HDL
met-d-L_HDL_C,Cholesterol in large HDL
met-d-L_HDL_FC,Free cholesterol in large HDL
met-d-L_HDL_PL,Phospholipids in large HDL
met-d-L_HDL_L,Total lipids in large HDL
ebi-a-GCST90092805,Acetone levels
met-d-M_HDL_FC,Free cholesterol in medium HDL
met-d-M_HDL_C,Cholesterol in medium HDL
met-d-M_HDL_CE,Cholesteryl esters in medium HDL
ebi-a-GCST90092899,Concentration of medium HDL particles
met-d-M_HDL_L,Total lipids in medium HDL
met-d-M_HDL_PL,Phospholipids in medium HDL
ebi-a-GCST90092816,Docosahexaenoic acid levels
ebi-a-GCST90092808,Apolipoprotein A1 levels
met-d-Phosphatidylc,Phosphatidylcholines
met-d-S_HDL_PL,Phospholipids in small HDL
ebi-a-GCST90092938,Phosphoglycerides levels
met-d-S_HDL_CE,Cholesteryl esters in small HDL
met-d-S_HDL_C,Cholesterol in small HDL
met-d-S_HDL_L,Total lipids in small HDL
met-d-S_HDL_FC,Free cholesterol in small HDL
ebi-a-GCST90092812,Total cholines levels
ebi-a-GCST90092951,Concentration of small HDL particles
met-d-Sphingomyelins,Sphingomyelins
ebi-a-GCST90092828,Average diameter for HDL particles
ebi-a-GCST90092881,Ratio of linoleic acid to total fatty acids
ebi-a-GCST90092810,Ratio of apolipoprotein B to apolipoprotein A1 levels
